song,artist,reentry_count,momentum_score,retention_days,fandom_score
I Like Me Better,Lauv,1,15.0,,4.9
Nest,Lim Young Woong,6,2.0,6.2,4.86
MANIAC,VIVIZ,4,2.25,8.333333333333334,4.775
Loving You,Lim Young Woong,3,3.3333333333333335,8.5,4.75
wherever u r (ft. V of BTS),UMI & V,2,6.0,7.0,4.699999999999999
Like Crazy (Instrumental),Jimin,2,6.0,7.0,4.699999999999999
Seven (feat. Latto) (Band Ver.),Jung Kook & Latto,3,7.0,4.5,4.65
Elevator,Lim Young Woong,3,1.3333333333333333,10.0,4.6
NEMONEMO,YENA,5,3.2,5.25,4.535
Teddy Bear,STAYC,4,4.5,5.0,4.45
3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake,1,13.0,,4.3
Midas Touch,KISS OF LIFE,2,1.5,10.0,4.25
Sweet Night,V,2,8.0,3.0,4.1
Spring Snow,10CM,3,4.333333333333333,5.0,4.0
Blue,V,4,4.25,3.6666666666666665,3.9749999999999996
Saturn,SZA,2,3.5,7.0,3.95
Love Station,Lim Young Woong,3,1.3333333333333333,7.5,3.85
CARNIVAL,¥$ & Kanye West & Ty Dolla $ign,3,4.333333333333333,4.5,3.8499999999999996
I Don’t Think That I Like Her,Charlie Puth,4,2.0,5.0,3.7
Guess featuring Billie Eilish,Charli xcx & Billie Eilish,1,11.0,,3.6999999999999997
녹아내려요 Melt Down,DAY6,1,11.0,,3.6999999999999997
Candy (Feat. Zion.T),Jay Park,3,3.6666666666666665,4.5,3.6499999999999995
Lovin On Me,Jack Harlow,2,3.0,6.0,3.5
vampire,Olivia Rodrigo,2,3.0,6.0,3.5
Rockstar,LISA,1,10.0,,3.4
GODS,League of Legends & NewJeans,2,2.5,6.0,3.3499999999999996
Taste,Sabrina Carpenter,3,3.0,4.0,3.3
Intro: Singularity,BTS,2,2.0,6.0,3.1999999999999997
HAPPY,DAY6,1,9.0,,3.0999999999999996
Come back to me,RM,1,9.0,,3.0999999999999996
Last Christmas - Single Version,Wham!,1,9.0,,3.0999999999999996
In Bloom,ZEROBASEONE,2,2.0,5.0,2.9
Don't Look Back in Anger - Remastered,Oasis,2,5.0,2.0,2.9
Little Light,DOYOUNG,1,8.0,,2.8
"무제(無題) (Untitled, 2014)",G-DRAGON,1,8.0,,2.8
Queencard,(G)I-DLE,2,1.5,5.0,2.75
Fortnight (feat. Post Malone),Taylor Swift,2,1.0,5.0,2.6
예뻤어,DAY6,1,7.0,,2.5
Christmas Tree,V,1,7.0,,2.5
"Steal The Show - From ""Elemental""",Lauv,1,7.0,,2.5
Still With You,Jung Kook,1,7.0,,2.5
Swan Song,LE SSERAFIM,1,7.0,,2.5
For Us,V,1,7.0,,2.5
Chk Chk Boom,Stray Kids,1,7.0,,2.5
Broken Melodies,NCT DREAM,1,7.0,,2.5
Discord,QWER,1,7.0,,2.5
ABCD,NAYEON,1,7.0,,2.5
Drowning,WOODZ,2,2.0,3.0,2.3
CRAZY,LE SSERAFIM,1,6.0,,2.1999999999999997
I’ll See You There Tomorrow,TOMORROW X TOGETHER,1,6.0,,2.1999999999999997
MEOW,MEOVV,1,6.0,,2.1999999999999997
That's What I Like,Bruno Mars,1,6.0,,2.1999999999999997
Don't Look Back In Anger - Remastered,Oasis,1,6.0,,2.1999999999999997
Like That,Future & Metro Boomin,1,5.0,,1.9
No Tomorrow - Spotify Singles,Various Artists,1,5.0,,1.9
Spicy,aespa,1,5.0,,1.9
K-POP,Travis Scott & Bad Bunny & The Weeknd,1,5.0,,1.9
CHIHIRO,Billie Eilish,1,5.0,,1.9
